fra;jour;P_f;P_h;P;T_f;T_h;T;cl_age90
FR;2020-07-04;13;14;27;1250;1264;2518;79
FR;2020-07-04;4;9;13;1013;765;1781;89
FR;2020-07-04;4;2;6;501;181;682;90
FR;2020-07-04;154;181;344;14290;12211;26588;0
FR;2020-07-05;3;0;4;323;362;694;09
FR;2020-07-05;1;3;5;237;226;467;19
FR;2020-07-05;8;8;16;404;280;684;29
FR;2020-07-05;14;9;23;500;385;886;39
FR;2020-07-05;10;7;17;361;365;728;49
FR;2020-07-05;8;6;14;388;418;808;59
FR;2020-07-05;6;8;14;403;517;921;69
FR;2020-07-05;2;2;4;422;505;928;79
FR;2020-07-05;5;2;7;550;392;942;89
FR;2020-07-05;1;0;1;271;111;382;90
FR;2020-07-05;58;45;105;3859;3561;7440;0
FR;2020-07-06;25;20;49;2816;3179;6089;09
FR;2020-07-06;40;44;85;2898;2749;5679;19
FR;2020-07-06;53;42;98;4081;2853;6971;29
FR;2020-07-06;61;51;113;5145;3616;8769;39
FR;2020-07-06;47;53;101;4182;3444;7633;49
FR;2020-07-06;34;45;80;3849;3345;7204;59
FR;2020-07-06;23;37;60;3334;3452;6789;69
FR;2020-07-06;17;25;42;2656;2895;5555;79
FR;2020-07-06;12;7;19;2102;1535;3640;89
FR;2020-07-06;9;4;13;1107;378;1486;90
FR;2020-07-06;321;328;660;32173;27457;59838;0
FR;2020-07-07;21;5;26;2993;3341;6433;09
FR;2020-07-07;33;28;61;2733;2451;5225;19
FR;2020-07-07;73;45;118;4417;3111;7549;29
FR;2020-07-07;65;39;104;5512;3832;9353;39
FR;2020-07-07;40;32;72;4131;3341;7478;49
FR;2020-07-07;33;30;63;3778;3085;6867;59
FR;2020-07-07;29;25;54;3193;3072;6269;69
FR;2020-07-07;22;12;34;2514;2580;5097;79
FR;2020-07-07;10;5;15;2165;1414;3579;89
FR;2020-07-07;8;1;9;1249;426;1676;90
FR;2020-07-07;334;222;560;32695;26660;59555;0
FR;2020-07-08;17;20;37;2564;2857;5512;09
FR;2020-07-08;39;38;77;2807;2583;5448;19
FR;2020-07-08;66;64;130;4463;3246;7731;29
FR;2020-07-08;61;46;108;5721;4041;9772;39
FR;2020-07-08;57;53;110;4352;3443;7803;49
FR;2020-07-08;36;56;92;3885;3109;7000;59
FR;2020-07-08;26;30;56;3200;2965;6166;69
FR;2020-07-08;11;17;28;2300;2267;4571;79
FR;2020-07-08;13;6;19;1858;1314;3173;89
FR;2020-07-08;7;2;9;1001;335;1336;90
FR;2020-07-08;333;332;666;32162;26170;58546;0
FR;2020-07-09;26;26;52;2692;3013;5812;09
FR;2020-07-09;33;43;76;2660;2599;5307;19
FR;2020-07-09;72;58;131;4631;3346;7988;29
FR;2020-07-09;53;59;112;5919;4306;10237;39
FR;2020-07-09;47;47;94;4408;3658;8071;49
FR;2020-07-09;42;44;86;4041;3250;7294;59
FR;2020-07-09;29;27;56;3482;2989;6474;69
FR;2020-07-09;13;21;34;2460;2424;4884;79
FR;2020-07-09;10;10;20;1856;1334;3193;89
FR;2020-07-09;6;2;8;1005;337;1342;90
FR;2020-07-09;331;337;670;33160;27275;60632;0
